Day,X,Q2
1/1/2017,11.28,82.81
1/2/2017,12.02,60.6
1/3/2017,19.66,69.82
1/4/2017,6.47,55.76
1/5/2017,4.98,51.04
1/6/2017,2.65,50.1
1/7/2017,2.69,50.78
1/8/2017,2.41,50.33
1/9/2017,6.2,49.67
1/10/2017,1.17,42.8
1/11/2017,0.71,39.8
1/12/2017,0,40.59
1/13/2017,4.11,24.63
1/14/2017,0.32,25.85
1/15/2017,4.34,26.29
1/16/2017,3.3,27.89
1/17/2017,2.81,26.85
1/18/2017,0.06,25.57
1/19/2017,0,20.5
1/20/2017,2.44,16.86
1/21/2017,18.54,37.32
1/22/2017,27.38,71.14
1/23/2017,10.77,48.52
1/24/2017,4.12,38.74
1/25/2017,18.33,66.71
1/26/2017,21.31,83.58
1/27/2017,0.53,44.19
1/28/2017,0.12,38.67
1/29/2017,0.06,42.1
1/30/2017,0.12,31.33
1/31/2017,0.18,29.97
2/1/2017,14.05,32.62
2/2/2017,27.87,59.46
2/3/2017,22.37,65.63
2/4/2017,3.09,53.31
2/5/2017,0,49.04
2/6/2017,0.14,45.67
2/7/2017,0.06,33.55
2/8/2017,0.12,25.6
2/9/2017,4.44,29.3
2/10/2017,1.25,24.18
2/11/2017,8.69,29.26
2/12/2017,13.48,37.11
2/13/2017,2.4,26.12
2/14/2017,1.84,21.69
2/15/2017,5.56,18.46
2/16/2017,0.34,22.86
2/17/2017,0.12,26.37
2/18/2017,0.76,25.48
2/19/2017,0.12,18.11
2/20/2017,0.07,17.04
2/21/2017,0.12,20.9
2/22/2017,0,13
2/23/2017,0,14.68
2/24/2017,2.41,16.64
2/25/2017,0.99,12.25
2/26/2017,0.96,14.48
2/27/2017,1.16,15.5
2/28/2017,0.58,17.27
3/1/2017,0.33,13.42
3/2/2017,1.72,15.52
3/3/2017,0.17,13.11
3/4/2017,0.03,12.69
3/5/2017,0.06,6.94
3/6/2017,0.14,16.62
3/7/2017,0,9.42
3/8/2017,0.9,11.42
3/9/2017,1.24,10.28
3/10/2017,0,9.7
3/11/2017,0,9.12
3/12/2017,0.67,9.66
3/13/2017,8.76,15.19
3/14/2017,5.63,8.58
3/15/2017,0,10.88
3/16/2017,0.82,10.47
3/17/2017,1.05,7.64
3/18/2017,26.6,13.37
